event_id,entity_recoverable,rule_recoverable,rule_ref,actor_recoverable,lead_time_recoverable,confidence,recurring_kind
EH001,1,1,capacity/vehicle; S016,1,1,high,vehicle/capacity shortfall worked around
EH002,1,1,vehicle capacity; S013,1,1,high,vehicle/capacity shortfall worked around
EH003,1,1,K005 / S025,1,1,high,vehicle/capacity shortfall worked around
EH004,1,0,gear inventory (no written rule),1,1,high,gear shortfall accepted
EH005,1,1,S016,1,1,low,decision visible but outcome not stated
EH006,1,0,vehicle safety (no written rule),1,0,medium,"vehicle fault, restricted use accepted"
EH007,1,1,S028 bus driver dependency,1,1,low,decision visible but outcome not stated
EH008,1,1,capacity per slot; S017,1,1,high,capacity limit stretched
EH009,1,1,K015,0,1,medium,capacity limit stretched
EH010,1,1,staffing,1,1,high,owner/manager fills a guide or driver slot
EH011,1,1,K009/K033,1,1,medium,trip added beyond the daily pattern
EH012,1,1,S012,1,1,high,vehicle/capacity shortfall worked around
EH013,1,1,S034; K009 (off-slot start),1,1,high,eligibility enforced / trip added beyond the daily pattern
EH014,1,1,S028,1,1,low,decision visible but outcome not stated
EH015,1,1,K020 / staffing,1,1,high,owner/manager fills a guide or driver slot
EH016,1,1,S036 / K014,0,1,medium,"eligibility question raised, outcome unclear"
EH017,0,1,S004,1,0,medium,"eligibility question raised, outcome unclear"
EH018,1,1,staffing / K020,1,1,high,owner/manager fills a guide or driver slot
EH019,1,1,S011,1,1,high,gear shortfall accepted
EH020,1,0,custom itinerary (no written rule),1,1,high,itinerary changed at guest request
EH021,1,1,S028 / S016,1,1,high,vehicle/capacity shortfall worked around
EH022,1,0,safety practice (no written rule),1,0,high,"safety incident, guidance issued"
EH023,0,1,K026 perimeter/bow line,0,0,low,decision visible but outcome not stated
EH024,1,1,S035,1,1,high,eligibility exception granted
EH025,1,1,S038,1,1,high,guest-service gap accepted
EH026,1,1,S010,1,1,high,gear shortfall accepted
EH027,1,0,gear inventory (no written rule),1,1,high,gear shortfall accepted
EH028,1,1,S017 staffing,0,1,low,decision visible but outcome not stated
EH029,1,1,S006,1,1,high,"vehicle fault, restricted use accepted"
EH030,1,1,staffing / shuttle,1,1,high,owner/manager fills a guide or driver slot
EH031,1,1,S002,1,1,high,eligibility enforced
EH032,1,1,S040,1,1,high,pricing exception granted
EH033,1,1,K015,1,1,high,"late booking growth, crew added"
EH034,1,1,S027,0,1,medium,decision visible but outcome not stated
EH035,1,1,S040 (pricing),1,1,high,pricing exception granted
EH036,1,1,shuttle staffing,1,1,high,owner/manager fills a guide or driver slot
EH037,1,1,S009,1,0,high,"vehicle fault, restricted use accepted"
EH038,1,1,S008,1,0,high,"vehicle fault, restricted use accepted"
EH039,1,1,S043,1,0,medium,approved time off honoured despite shortage
EH040,1,1,K015,1,1,high,capacity limit stretched
EH041,1,1,S017,0,1,medium,decision visible but outcome not stated
EH042,1,0,rendezvous (no written rule),0,1,medium,guest rendezvous problem
EH043,1,0,booking channel (no written rule),1,1,high,booking-system artefact caused ops work
EH044,1,1,S032,1,1,high,staffing gap filled from standby
EH045,1,1,S020,1,1,high,human override of shuttle timing
EH046,1,1,K021,1,1,medium,store hours flexed
EH047,1,0,minimum trip size (no written rule),0,1,low,decision visible but outcome not stated
EH048,1,0,rental pickup (no written rule),1,1,medium,default plan adopted under missing information
EH049,1,0,conduct (no written rule),1,0,medium,"conduct issue raised, action deferred"
