recurring_kind,count
decision visible but outcome not stated,12
vehicle/capacity shortfall worked around,6
"vehicle fault, restricted use accepted",6
owner/manager fills a guide or driver slot,5
gear shortfall accepted,4
capacity limit stretched,3
"eligibility question raised, outcome unclear",2
pricing exception granted,2
guest rendezvous problem,2
default plan adopted under missing information,2
deposit rule waived,2
trip added beyond the daily pattern,1
eligibility enforced / trip added beyond the daily pattern,1
itinerary changed at guest request,1
"safety incident, guidance issued",1
eligibility exception granted,1
guest-service gap accepted,1
eligibility enforced,1
"late booking growth, crew added",1
approved time off honoured despite shortage,1
booking-system artefact caused ops work,1
staffing gap filled from standby,1
human override of shuttle timing,1
store hours flexed,1
"conduct issue raised, action deferred",1
dispatch gap filled at the last minute,1
automation false alarm dismissed,1
automation limit worked around by hand [human messages were visible in H; missed there],1
automation limit worked around by hand,1
confirmation chased the night before,1
vehicle fault checked and cleared,1
waiver gap accepted routinely,1
