recurring_kind,count
decision visible but outcome not stated,8
vehicle/capacity shortfall worked around,5
owner/manager fills a guide or driver slot,5
gear shortfall accepted,4
"vehicle fault, restricted use accepted",4
capacity limit stretched,3
"eligibility question raised, outcome unclear",2
pricing exception granted,2
trip added beyond the daily pattern,1
eligibility enforced / trip added beyond the daily pattern,1
itinerary changed at guest request,1
"safety incident, guidance issued",1
eligibility exception granted,1
guest-service gap accepted,1
eligibility enforced,1
"late booking growth, crew added",1
approved time off honoured despite shortage,1
guest rendezvous problem,1
booking-system artefact caused ops work,1
staffing gap filled from standby,1
human override of shuttle timing,1
store hours flexed,1
default plan adopted under missing information,1
"conduct issue raised, action deferred",1
