key_id,type,statement,source,notes
K001,capacity,Lower Salmon 4-Day maximum is 30 total people (5 guides and 25 guests).,head,
K002,capacity,Main Salmon 5-Day (or 4-Day high-water variant) maximum is 30 total people (5 guides and 25 guests).,head,
K003,capacity,Jetboat shuttle maximum is 24 guests.,head,
K004,sequencing,Lower Salmon requires a shuttle driver to drop guides boats and gear at Hammer Creek launch; the driver returns the van and trailer; a driver van and trailer must pick up at Heller Bar on the afternoon of day 4.,head,
K005,sequencing,Main Salmon requires a driver van and trailer to drop at Corn Creek (approximately 10 hours from launch); the crew camps overnight; trip starts 9 am the following morning; the driver returns the van/trailer to Riggins after launch.,head,
K006,capacity,Typical full multi-day boat mix is 2 large gear boats and 3 paddle boats; smaller groups may run fewer paddle boats or a Mammoth but always require at least one gear boat.,head,
K007,eligibility,Buses require a CDL-qualified driver.,head,
K008,timing,Maximum one full-day trip per day.,head,
K009,timing,Maximum two half-day trips per day (10 am and 2 pm).,head,
K010,timing,Main Salmon has assigned launch dates.,head,
K011,timing,Lower Salmon preferred launch days are Monday and Tuesday; other days permitted when needed.,head,
K012,capacity,Day-trip and French Creek maximum combined volume is 120 people.,head,
K013,capacity,One seat and one PFD required per guest.,head,
K014,eligibility,Each multi-day trip requires one lead guide (typically 2-3 years experience).,head,
K015,capacity,Day-trip paddle boats limited to 9 guests on a 16-ft boat.,head,
K016,capacity,French Creek / SRHAB paddle boats limited to 10 guests on a 16-ft boat.,head,
K017,eligibility,A guide may be assigned to only one boat at a time on the same trip.,head,
K018,eligibility,Ruby (old van) must not tow.,head,
K019,eligibility,Buses must not travel to Vinegar (French Creek / SRHAB launch).,head,
K020,sequencing,French Creek / SRHAB requires multiple drivers and vehicles (typically one van + mega trailer plus another van; larger trips need two vans and two trailers) for both drop and pickup.,head,
K021,staffing,One person must work the store each working day.,head,
K022,gear,Two oars required for each boat.,head,
K023,gear,One paddle required for each person in a paddle boat.,head,
K024,gear,Helmets required during high water; helmets always required in inflatable kayaks or on scout rafting trips.,head,
K025,gear,First-aid kit required on each trip.,head,
K026,gear,Each raft requires a perimeter-line rope.,head,
K027,gear,Thwarts/seats must be set for the correct passenger count; boats must be properly inflated.,head,
K028,gear,Each trip requires a pump.,head,
K029,compliance,Safety talk required before every trip.,head,
K030,gear,One throw rope required per boat.,head,
